Molecule Name,SMILES,Batch Name,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0016015,ClC1=CN=C(Br)C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,PCM-0222011,1.99,1.71,2.32,1.13,2.1
CVD-0016014,FC1=CC(F)=C(F)C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1F,001,PCM-0222012,2.03,1.51,2.72,1.13,2.1
CVD-0016013,COC1=C(N)C=C(C=C1)N(C(C)=O)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222013,2.71,2.35,3.12,0.984,2.1
CVD-0016012,ClC1=CC(NC2=CC(=CC=C2)C2=CC=CC=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222015,5.85,5.37,6.37,1.08,2.1
CVD-0016011,COC1=CC(=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1)[N+]([O-])=O,001,PCM-0222016,2.12,1.96,2.29,1.03,2.1
CVD-0016010,OC12CC3CC(C1)CC(C3)(C2)NC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222017,2.87,2.65,3.12,1.03,2.1
CVD-0016009,CC1=CN=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C(=C1)[N+]([O-])=O,001,PCM-0222018,1.86,1.74,1.99,1.02,2.1
CVD-0016008,NC1=NC2=C(N=CN2)C(=O)N1C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222019,1.86,1.66,2.09,1.02,2.1
CVD-0016007,FC1=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C(F)C=C1C#N,001,PCM-0222020,2.12,1.85,2.44,1.06,2.1
CVD-0016006,ClC1=CC(NC2=CC=C(C=C2)C2=NC=CC=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222021,1.67,1.32,2.12,0.971,2.1
CVD-0016005,FC(F)(F)OC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C(Cl)C=C1,001,PCM-0222022,2.12,1.66,2.70,0.964,2.1
CVD-0016004,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=NNC3=C2C=C(Br)C=C3)=C1,001,PCM-0222023,1.83,1.61,2.07,1.02,2.1
CVD-0016003,CC1=NC=CN1C1=CC=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222025,2.48,2.18,2.81,1.13,2.1
CVD-0016002,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CC1)C1=NSC2=C1C=CC=C2,001,PCM-0222026,3.34,3.04,3.67,0.991,2.1
CVD-0016001,CN1CCN(CC1)C1=C(F)C=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222027,2.80,2.65,2.95,0.997,2.1
CVD-0016000,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CCC2=CC=CC=C2)CC1,001,PCM-0222028,5.02,4.31,5.86,1.11,2.1
CVD-0015999,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CC=CC(Cl)=C2C#N)=C1,001,PCM-0222029,1.93,1.72,2.17,1.01,2.1
CVD-0015998,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N(C1CCNCC1)C(=O)C1=CC=CC=C1,001,PCM-0222030,2.14,1.99,2.30,1.03,2.1
CVD-0015997,ClC1=CC(NC2=NC=CC=C2OCC2=CC=CC=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222031,2.00,1.84,2.17,0.956,2.1
CVD-0015996,CC(C)(C)C1=CSC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1,001,PCM-0222032,2.09,1.82,2.39,1.03,2.1
CVD-0015995,CC1=NN(C(N)=C1Br)C1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222033,1.72,1.30,2.29,1.01,2.1
CVD-0015994,FC(F)(F)C1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222034,1.43,1.34,1.52,1.07,2.1
CVD-0015993,CSC1=NC=C(C#N)C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1,001,PCM-0222035,1.84,1.70,1.99,1.04,2.1
CVD-0015992,FC(F)(F)OC1=CC=C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222036,5.52,4.68,6.51,1.05,2.1
CVD-0015991,CC(C)C1=NC(CN(C)C2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=CS1,001,PCM-0222037,2.63,2.34,2.95,1.06,2.1
CVD-0015990,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1C(=NC2=C1C=CC=C2)C1CCNCC1,001,PCM-0222038,2.24,1.98,2.52,1.06,2.1
CVD-0015989,CC(=O)NC1=CC(=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1)C(F)(F)F,001,PCM-0222039,2.09,1.90,2.30,1.04,2.1
CVD-0015988,FC(F)(F)COC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC=C1,001,PCM-0222040,1.96,1.78,2.16,1.11,2.1
CVD-0015987,ClC1=CC(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=CC(Cl)=C1,001,PCM-0222041,1.72,1.54,1.93,1.08,2.1
CVD-0015986,ClC1=CC(NC2=CC=C(C=C2)N2C=CC=N2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222042,2.12,1.88,2.39,1.11,2.1
CVD-0015985,ClC1=CC(NC2=CC=C(C=C2)N2C=CN=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222043,2.46,2.28,2.65,1.08,2.1
CVD-0015984,FC(F)(F)OC1=CC=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1,001,PCM-0222044,1.93,1.56,2.40,1.06,2.1
CVD-0015983,ClC1=CC2=C(SC(NC3=CC(CC(=O)NC4=CN=CC5=CC=CC=C45)=CC(Cl)=C3)=N2)C=C1,001,PCM-0222045,2.04,1.75,2.37,1.02,2.1
CVD-0015982,CC1=C(Br)C=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1,001,PCM-0222046,2.07,1.83,2.35,1.04,2.1
CVD-0015981,ClC1=CC(NC2=CC=C(C=C2)N2CCOCC2=O)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222047,1.99,1.85,2.14,0.991,2.1
CVD-0015980,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CC1)C(=O)C1CC1,001,PCM-0222048,2.01,1.76,2.28,1.07,2.1
CVD-0015979,OCCN1C=NC2=C1N=CN=C2NC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222049,1.82,1.65,2.02,0.968,2.1
CVD-0015978,NC(=O)C1=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C(Cl)C=C1,001,PCM-0222050,1.79,1.62,1.96,1.02,2.1
CVD-0015977,FC(F)(F)C1=C(Cl)C=CC(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,PCM-0222051,2.98,2.61,3.41,1.04,2.1
CVD-0015976,FC(F)(F)C1=NN=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)S1,001,PCM-0222052,2.44,2.21,2.69,0.989,2.1
CVD-0015975,[O-][N+](=O)C1=CC=C(C=C1)N1N=CC(C#N)=C1NC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222053,1.84,1.61,2.09,1.01,2.1
CVD-0015974,OC1=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC2=CC=CC=C12,001,PCM-0222054,4.10,3.77,4.46,1.10,2.1
CVD-0015973,CC1=CC(Br)=CC(C)=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222055,1.71,1.56,1.88,0.972,2.1
CVD-0015972,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NCC2=C(Cl)C=CC=C2Cl)=C1,001,PCM-0222056,2.71,2.52,2.92,0.967,2.1
CVD-0015971,CCOC1=CC=C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222057,3.41,3.08,3.78,0.956,2.1
CVD-0015970,COC1=C(C=CC=C1)N1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222058,2.98,2.80,3.17,1.05,2.1
CVD-0015969,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCC(CC1)OC1=CC=CC=C1,001,PCM-0222059,1.73,1.58,1.90,1.09,2.1
CVD-0015968,ClC1=CC(NC2=CC3=C(OCCO3)C=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222060,2.12,1.94,2.31,1.01,2.1
CVD-0015967,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CC1)C1=NC=CC=N1,001,PCM-0222061,2.52,2.25,2.83,0.975,2.1
CVD-0015966,COC1=CC(OC)=C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222062,3.37,3.05,3.71,1.05,2.1
CVD-0015965,FC(F)(F)C1=CC=C(CCNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222063,5.57,4.68,6.62,1.07,2.1
CVD-0015964,FC(F)(F)C1=CC=C(CN2CCN(CC2)C2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222064,4.28,3.78,4.85,1.14,2.1
CVD-0015963,CC1=CC(C)=C(CN)C(=O)N1C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222065,2.41,2.21,2.63,0.987,2.1
CVD-0015962,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NCC2=CC=C(Br)C=C2)=C1,001,PCM-0222066,1.43,1.32,1.54,1.01,2.1
CVD-0015961,COC1=CC=CC(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1OC,001,PCM-0222067,2.48,2.30,2.69,0.942,2.1
CVD-0015960,COC1=CC(OC)=CC(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1,001,PCM-0222068,2.87,2.61,3.16,1.02,2.1
CVD-0015959,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NCC2=C(Br)C=CC=C2)=C1,001,PCM-0222069,3.50,3.10,3.95,0.993,2.1
CVD-0015958,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CC=C(OC3=C(Cl)C=CC=C3)C=C2)=C1,001,PCM-0222070,2.49,2.30,2.69,1.03,2.1
CVD-0015957,FC1=CC(Br)=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1,001,PCM-0222071,2.04,1.84,2.25,1.06,2.1
CVD-0015956,COC1=C(O)C=CC(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1,001,PCM-0222072,1.88,1.75,2.01,1.12,2.1
CVD-0015955,CN(CC1=CC(=CC=C1)[N+]([O-])=O)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222073,1.53,1.37,1.70,1.09,2.1
CVD-0015954,CN1CCN(CC1)C1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222074,4.56,3.87,5.37,1.18,2.1
CVD-0015953,FC1=NC(F)=C(Cl)C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1Cl,001,PCM-0222075,2.16,1.85,2.53,1.05,2.1
CVD-0015952,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(=C1)N1CCN(CC1)C1=NC=C(Br)C=C1,001,PCM-0222076,3.17,2.92,3.44,0.973,2.1
CVD-0015951,FC1=CC=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C(Br)=N1,001,PCM-0222077,1.86,1.70,2.04,1.04,2.1
CVD-0015950,CN(C1CCN(CC1)C(=O)OC(C)(C)C)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222078,2.50,2.21,2.82,1.08,2.1
CVD-0015949,OC1=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=CC(Br)=C1,001,PCM-0222079,3.89,3.39,4.46,1.02,2.1
CVD-0015948,FC(F)(F)SC1=CC=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222080,1.84,1.72,1.98,1.00,2.1
CVD-0015947,COC1=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)N=CC(Br)=N1,001,PCM-0222081,2.05,1.91,2.20,1.00,2.1
CVD-0015946,[O-][N+](=O)C1=CC=CC(=C1)N1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222082,2.87,2.56,3.21,1.07,2.1
CVD-0015945,COC1=CC=CC(CCNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1,001,PCM-0222083,3.16,2.89,3.45,1.03,2.1
CVD-0015944,ClC1=CC(NC2=CC3=C(SC=N3)C=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222084,2.22,1.84,2.68,1.03,2.1
CVD-0015943,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CC=CC(Br)=N2)=C1,001,PCM-0222085,1.92,1.80,2.04,0.971,2.1
CVD-0015942,OC1=CC(=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1)[N+]([O-])=O,001,PCM-0222086,5.33,4.84,5.86,1.20,2.1
CVD-0015941,FC1=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C(Br)C=C1,001,PCM-0222087,1.90,1.79,2.02,1.01,2.1
CVD-0015940,CN(CC1=CC=CC2=CC=CC=C12)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222088,8.79,8.25,9.36,1.62,1.1
CVD-0015940,CN(CC1=CC=CC2=CC=CC=C12)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222088,1.73,1.55,1.94,1.04,2.1
CVD-0015939,FC1=CC(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C(Br)C=C1,001,PCM-0222090,1.88,1.67,2.12,0.998,2.1
CVD-0015938,[O-][N+](=O)C1=CC=C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222091,1.82,1.70,1.95,1.02,2.1
CVD-0015937,ClC1=CC(NC2=CC(=CC=C2)N2CCOCC2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222092,2.44,2.18,2.74,1.08,2.1
CVD-0015936,[O-][N+](=O)C1=C(Br)C=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,PCM-0222093,2.06,1.87,2.28,1.05,2.1
CVD-0015935,COC1=C(Cl)C=CC=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222094,1.68,1.49,1.90,0.986,2.1
CVD-0015934,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CN=C(Br)C=C2)=C1,001,PCM-0222095,1.94,1.76,2.14,1.04,2.1
CVD-0015933,FC(F)(F)C1=C(CCNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC=C1,001,PCM-0222096,2.97,2.28,3.87,0.950,2.1
CVD-0015932,[O-][N+](=O)C1=CC=CC(Cl)=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222098,2.37,2.08,2.69,1.15,2.1
CVD-0015931,COC1=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C(Cl)C=C1,001,PCM-0222099,1.70,1.57,1.85,0.985,2.1
CVD-0015930,CC1=CN(C=N1)C1=CC(=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1)C(F)(F)F,001,PCM-0222100,2.53,2.27,2.81,1.08,2.1
CVD-0015929,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CC(Cl)=C(OCC3=NC=CC=C3)C=C2)=C1,001,PCM-0222102,2.09,1.80,2.41,1.06,2.1
CVD-0015928,ClC1=CC(NCC2=CC=C(OC3=CC=CC=C3)C=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222103,5.82,5.38,6.31,1.12,2.1
CVD-0015927,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NCC2=CC=CC(Br)=C2)=C1,001,PCM-0222104,1.48,1.31,1.67,1.00,2.1
CVD-0015926,CCS(=O)(=O)N1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222105,1.67,1.56,1.79,1.01,1.1
CVD-0015926,CCS(=O)(=O)N1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222105,1.35,1.26,1.44,1.04,2.1
CVD-0015925,FC(F)(F)C1=CC=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=N1,001,PCM-0222106,2.13,1.85,2.46,1.04,2.1
CVD-0015924,COC1=NC=C(Br)C=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222107,0.681,0.285,1.63,0.850,2.3
CVD-0015923,CCCOC1=CC=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,001,PCM-0222108,2.92,1.46,5.87,1.21,2.3
CVD-0015922,FC1=C(Cl)C=C(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1,001,PCM-0222109,2.49,2.11,2.95,0.990,2.1
CVD-0015921,ClC1=CC(NCC2=CC=C(C=C2)C2=CC=CC=C2)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222111,1.53,1.38,1.69,1.03,2.1
CVD-0015920,CC1=NC=C(CO)C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1O,001,PCM-0222112,9.11,7.59,10.9,1.05,2.1
CVD-0015919,CC1=CC2=C(C=C1)N(C=C2CCN)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222113,1.63,1.42,1.87,1.10,2.1
CVD-0015918,COC1=C(OC)C=C2C(NC3=CC(Cl)=CC(CC(=O)NC4=CN=CC5=CC=CC=C45)=C3)=NC(Cl)=NC2=C1,001,PCM-0222114,2.36,2.15,2.60,1.07,2.1
CVD-0015917,CC1=C(Br)C=CC=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222115,2.13,1.93,2.36,1.04,2.1
CVD-0015916,CC1=CC=C2C=CC=C(NC3=CC(CC(=O)NC4=CN=CC5=CC=CC=C45)=CC(Cl)=C3)C2=N1,001,PCM-0222116,4.93,4.48,5.41,1.18,2.1
CVD-0015915,FC1=CC(=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1)C(F)(F)F,001,PCM-0222117,1.56,1.37,1.78,1.03,2.1
CVD-0015914,FC1=C(Cl)C(Cl)=CC=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222118,2.26,1.96,2.62,1.07,2.1
CVD-0015913,FC1=CC=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C(Br)=C1F,001,PCM-0222119,1.94,1.71,2.21,1.03,2.1
CVD-0015912,CCOC1=C(CNC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=CC=C1,001,PCM-0222120,2.07,1.65,2.61,0.883,2.3
CVD-0015911,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=NC=C(I)C=C2)=C1,001,PCM-0222123,2.21,1.98,2.47,1.02,2.1
CVD-0015910,COC1=C(Cl)C=C(Cl)C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,PCM-0222124,6.80,5.85,7.90,1.07,2.1
CVD-0015909,COC1=CC=C(C=C1)C1=NN(C(N)=C1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222125,2.71,2.48,2.95,1.06,2.1
CVD-0015908,FC(F)(F)C1=C(Br)C=NC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=N1,001,PCM-0222126,1.84,1.59,2.14,1.02,2.1
CVD-0015907,CS(=O)(=O)C1=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C(O)C=C1,001,PCM-0222127,7.61,6.42,9.01,1.02,2.1
CVD-0015906,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=C(Br)C=NC=C2)=C1,001,PCM-0222128,2.18,1.87,2.54,1.08,2.1
CVD-0015905,FC(F)(F)C1=NN=C2CN(CCN12)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,001,PCM-0222129,2.01,1.78,2.28,1.04,2.1
CVD-0015904,[O-][N+](=O)C1=CN=CC(Br)=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222130,1.83,1.66,2.01,0.998,2.1
CVD-0015903,FC1=CC(Br)=CC(F)=C1NC1=CC(Cl)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,001,PCM-0222131,1.54,0.534,4.45,0.744,2.3
CVD-0015902,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=NC(Cl)=NC(Cl)=C2)=C1,001,PCM-0222132,1.83,1.70,1.97,1.05,2.1
CVD-0015901,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CC=C3C=C(Br)C=CC3=C2)=C1,001,PCM-0222133,2.10,1.88,2.36,1.00,2.1
CVD-0015900,CC1=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C(C=C1)[N+]([O-])=O,001,PCM-0222134,2.26,1.94,2.64,1.07,2.1
CVD-0015899,CC1=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=CC(Br)=N1,001,PCM-0222135,2.82,2.52,3.15,1.07,2.1
CVD-0015898,COC1=CC(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=NC(OC)=N1,001,PCM-0222136,2.21,1.93,2.53,1.10,2.1
CVD-0015897,FC1=C(Br)C=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1,001,PCM-0222137,1.97,1.82,2.14,0.937,2.1
CVD-0015896,FC1=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=CC(I)=C1,001,PCM-0222138,2.24,1.97,2.54,1.11,2.1
CVD-0015895,FC1=CC(I)=C(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)C=C1,001,PCM-0222139,1.76,1.63,1.91,1.01,2.1
CVD-0015894,FC1=C(Cl)C(CNC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=CC=C1,001,PCM-0222140,2.22,2.04,2.41,1.03,2.1
CVD-0015893,FC1=CC=CC(CN2CCN(CC2)C2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)=C1,001,PCM-0222141,3.28,2.99,3.60,0.990,2.1
CVD-0015892,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=CN=C(Br)C=N2)=C1,001,PCM-0222142,2.07,1.87,2.28,1.08,2.1
CVD-0015891,CC1=C(Br)C=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=N1,001,PCM-0222143,2.07,1.93,2.22,1.01,2.1
CVD-0015890,FC(F)(F)C1=CC(Br)=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,PCM-0222144,1.87,1.63,2.13,1.00,2.1
CVD-0015889,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=C(I)C=NC=C2)=C1,001,PCM-0222145,1.68,1.59,1.79,0.954,2.1
CVD-0015888,FC1=C(I)C=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,PCM-0222146,2.04,1.86,2.23,0.972,2.1
CVD-0015887,COC1=C(Br)C=CC(NC2=CC(Cl)=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=C2)=C1,001,PCM-0222148,1.89,1.69,2.11,0.988,2.1
CVD-0015886,ClC1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(NC2=C(Cl)C=CC(=C2)C#N)=C1,001,PCM-0222149,1.99,1.84,2.16,0.993,2.1
