Molecule Name,CDD Number,SMILES,Canonical PostEra ID,stereochem comments,Covalent Warhead,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Run Date,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0016372,"",FC(F)(F)CCOc1cc(Cl)cc2C(CCOc12)C(=O)Nc1cncc2ccccc12,DAR-DIA-0587064e-10,Racemic or presumed racemic or meso,False,FC(F)(F)CCOC=1C=C(Cl)C=C2C(CCOC12)C(=O)NC=3C=NC=C4C=CC=CC34,O=C(Nc1cncc2ccccc12)C1CCOc2c(OCCC(F)(F)F)cc(Cl)cc21,shipment_SMILES,2021-04-11,3.14,2.38,4.15,0.729,2.1
CVD-0016354,"",CCCc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,PET-UNK-bb7ffe78-3,Achiral,False,CCCC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,CCCc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,shipment_SMILES,2021-03-22,2.65,1.27,5.54,0.354,2.3
CVD-0016353,"",FC(F)(F)Oc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,PET-UNK-bb7ffe78-2,Achiral,False,FC(F)(F)OC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,O=C(Cc1cc(Cl)cc(OC(F)(F)F)c1)Nc1cncc2ccccc12,shipment_SMILES,2021-04-20,1.55,1.24,1.94,0.580,1.1
CVD-0016352,"",CCc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,PET-UNK-bb7ffe78-1,Achiral,False,CCC=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,CCc1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,shipment_SMILES,2021-03-22,1.80,1.29,2.51,0.700,1.1
CVD-0016346,"",CC(C)(C)c1ccc(cc1)N([C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)C=C,LON-POS-586a7c45-1,Single unknown enantiomer,False,CC(C)(C)C=1C=CC(=CC1)N([C@@H](C(=O)NCCC=2C=CC=C(F)C2)C=3C=CC=NC3)C(=O)C=C,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1,shipment_SMILES,2021-02-23,86.4,49.9,149,0.669,2.3
CVD-0016338,CDD-2563740,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COP(O)(O)=O,PF-07304814,"","","","","",2021-03-01,0.140,0.122,0.161,1.27,1.1
CVD-0016338,CDD-2563740,COc1cccc2[nH]c(cc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)COP(O)(O)=O,PF-07304814,"","","","","",2021-02-23,0.313,0.297,0.330,1.28,1.1
CVD-0016337,"",CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,STE-KUL-d79e3d6a-5,"",False,CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)COC(=O)C=1C(C)=CC=CC1C)C(C)(C)C,C#CCCCC(=O)N[C@@H](CC)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,shipment_SMILES,2021-06-20,5.83,5.15,6.60,0.965,1.1
CVD-0016337,"",CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,STE-KUL-d79e3d6a-5,"",False,CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)COC(=O)C=1C(C)=CC=CC1C)C(C)(C)C,C#CCCCC(=O)N[C@@H](CC)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,shipment_SMILES,2021-04-27,5.77,5.06,6.57,0.915,1.1
CVD-0016336,"",CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,STE-KUL-d79e3d6a-4,"",False,CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)COC(=O)C=1C(C)=CC=CC1C)C(C)(C)C,C#CCCCC(=O)N[C@@H](CC)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,shipment_SMILES,2021-06-20,53.9,46.1,63.1,1.10,2.1
CVD-0016336,"",CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,STE-KUL-d79e3d6a-4,"",False,CC[C@H](NC(=O)CCCC#C)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)COC(=O)C=1C(C)=CC=CC1C)C(C)(C)C,C#CCCCC(=O)N[C@@H](CC)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)COC(=O)c1c(C)cccc1C)C(C)(C)C,shipment_SMILES,2021-04-27,4.27,3.73,4.89,0.835,1.1
CVD-0016335,CDD-2563739,CC(C)C[C@@H](NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C)C(=O)NN(CCC(N)=O)C(=O)CCl,STE-KUL-d79e3d6a-3,"",False,CC(C)C[C@@H](NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C)C(=O)NN(CCC(=O)N)C(=O)CCl,C#CCCCC(=O)N[C@H](C(=O)N[C@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)CCl)C(C)(C)C,shipment_SMILES,2021-04-27,< 0.0500,"","",2.25,2.1
CVD-0016334,CDD-2563738,COC(=O)\C=C\C(=O)N(CCC(N)=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C,STE-KUL-d79e3d6a-2,"",False,COC(=O)/C=C/C(=O)N(CCC(=O)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C,C#CCCCC(=O)N[C@H](C(=O)N[C@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)/C=C/C(=O)OC)C(C)(C)C,shipment_SMILES,2021-04-27,< 0.0500,"","",1.59,2.3
CVD-0016333,CDD-2563737,CCOC(=O)C1OC1C(=O)N(CCC(N)=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C,STE-KUL-d79e3d6a-1,"",False,CCOC(=O)C1OC1C(=O)N(CCC(=O)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C,C#CCCCC(=O)N[C@H](C(=O)N[C@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)C1OC1C(=O)OCC)C(C)(C)C,shipment_SMILES,2021-06-20,0.206,0.197,0.216,1.60,1.1
CVD-0016333,CDD-2563737,CCOC(=O)C1OC1C(=O)N(CCC(N)=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C,STE-KUL-d79e3d6a-1,"",False,CCOC(=O)C1OC1C(=O)N(CCC(=O)N)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCC#C)C(C)(C)C,C#CCCCC(=O)N[C@H](C(=O)N[C@H](CC(C)C)C(=O)NN(CCC(N)=O)C(=O)C1OC1C(=O)OCC)C(C)(C)C,shipment_SMILES,2021-04-27,0.292,0.273,0.312,1.53,1.1
CVD-0016332,"",CC(C)(C)c1ccc(cc1)N(C(C(=O)N1CCOCC1)c1cccnc1)C(=O)c1ccco1,ALP-POS-0c0a3b93-1,"",False,"","","",2021-02-18,41.0,35.6,47.1,1.27,2.1
CVD-0016321,CDD-2563736,N[C@@]1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,MAT-POS-3b97339c-2,Single known enantiomer,False,"Cl.N[C@@]1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34 |o1:2,r|",Cl.N[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21 |o1:2|,shipment_SMILES,2021-02-18,0.473,0.436,0.513,1.28,1.1
CVD-0016294,"",CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cnccn1)C(=O)c1cocn1,ALP-POS-d0876c20-21,"",False,"","","",2021-02-18,1.21,1.04,1.40,1.15,1.1
CVD-0016292,"",COc1ncncc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,ALP-POS-d0876c20-19,"",False,"","","",2021-02-18,8.43,6.79,10.5,1.45,1.1
CVD-0016290,"",CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cncnc1)C(=O)c1cocn1,ALP-POS-d0876c20-17,"",False,"","","",2021-02-18,2.92,2.50,3.41,1.24,1.1
CVD-0016288,"",COc1nccnc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,ALP-POS-d0876c20-15,"",False,"","","",2021-02-18,94.9,67.1,134,1.83,2.3
CVD-0016278,"",CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1ccnnc1)C(=O)c1cocn1,ALP-POS-d0876c20-5,"",False,"","","",2021-02-18,2.05,1.86,2.27,1.22,1.1
CVD-0016277,"",COc1nc2ncc(cn2n1)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,ALP-POS-d0876c20-4,"",False,"","","",2021-02-18,33.4,29.8,37.5,1.24,2.1
CVD-0016274,CDD-2563735,Cc1ccncc1C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)C(=O)NCCc1cccc(F)c1,ALP-POS-d0876c20-1,"",False,"","","",2021-02-18,0.653,0.608,0.701,1.18,1.1
CVD-0016255,"",CNC(=O)C1(CC(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc12,MAT-POS-78e1d523-2,Racemic or presumed racemic or meso,False,CNC(=O)C1(CC(=O)NC=2C=NC=C3C=CC=CC23)CCOC=4C=CC(Cl)=CC41,CNC(=O)C1(CC(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,shipment_SMILES,2021-02-18,30.7,23.0,41.0,1.03,2.1
CVD-0016254,CDD-2563734,Clc1ccc2SCCC(C(=O)Nc3cncc4ccccc34)c2c1,MAT-POS-78e1d523-1,Racemic or presumed racemic or meso,False,ClC=1C=CC=2SCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,O=C(Nc1cncc2ccccc12)C1CCSc2ccc(Cl)cc21,shipment_SMILES,2021-03-15,0.166,0.159,0.174,1.03,1.1
CVD-0016254,CDD-2563734,Clc1ccc2SCCC(C(=O)Nc3cncc4ccccc34)c2c1,MAT-POS-78e1d523-1,Racemic or presumed racemic or meso,False,ClC=1C=CC=2SCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,O=C(Nc1cncc2ccccc12)C1CCSc2ccc(Cl)cc21,shipment_SMILES,2021-03-09,0.289,0.253,0.331,0.932,2.1
CVD-0016254,CDD-2563734,Clc1ccc2SCCC(C(=O)Nc3cncc4ccccc34)c2c1,MAT-POS-78e1d523-1,Racemic or presumed racemic or meso,False,ClC=1C=CC=2SCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,O=C(Nc1cncc2ccccc12)C1CCSc2ccc(Cl)cc21,shipment_SMILES,2021-03-08,0.183,0.176,0.191,1.06,2.1
CVD-0016253,CDD-2563733,CC(C)C[C@H]1CN(CCN1Cc1cccc(Cl)c1)C(=O)CCl,JOH-UNI-0e1753c1-5,Single known enantiomer,True,CC(C)C[C@H]1CN(CCN1CC=2C=CC=C(Cl)C2)C(=O)CCl,CC(C)C[C@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,shipment_SMILES,2021-03-09,0.641,0.593,0.692,1.68,1.1
CVD-0016253,CDD-2563733,CC(C)C[C@H]1CN(CCN1Cc1cccc(Cl)c1)C(=O)CCl,JOH-UNI-0e1753c1-5,Single known enantiomer,True,CC(C)C[C@H]1CN(CCN1CC=2C=CC=C(Cl)C2)C(=O)CCl,CC(C)C[C@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,shipment_SMILES,2021-03-08,0.759,0.707,0.816,1.47,1.1
CVD-0016251,"",Clc1cccc(CN2CCN(CC2)C(=O)C=O)c1,JOH-UNI-0e1753c1-2,Achiral,False,ClC=1C=CC=C(CN2CCN(CC2)C(=O)C=O)C1,O=CC(=O)N1CCN(Cc2cccc(Cl)c2)CC1,shipment_SMILES,2021-03-09,49.6,36.9,66.7,1.42,2.3
CVD-0016251,"",Clc1cccc(CN2CCN(CC2)C(=O)C=O)c1,JOH-UNI-0e1753c1-2,Achiral,False,ClC=1C=CC=C(CN2CCN(CC2)C(=O)C=O)C1,O=CC(=O)N1CCN(Cc2cccc(Cl)c2)CC1,shipment_SMILES,2021-03-08,56.6,50.3,63.8,1.20,2.1
CVD-0016250,"",COC(OC)C(=O)N1CCN(Cc2cccc(Cl)c2)CC1,JOH-UNI-0e1753c1-1,Achiral,False,COC(OC)C(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1,COC(OC)C(=O)N1CCN(Cc2cccc(Cl)c2)CC1,shipment_SMILES,2021-03-09,94.3,74.5,119,1.20,2.1
CVD-0016250,"",COC(OC)C(=O)N1CCN(Cc2cccc(Cl)c2)CC1,JOH-UNI-0e1753c1-1,Achiral,False,COC(OC)C(=O)N1CCN(CC=2C=CC=C(Cl)C2)CC1,COC(OC)C(=O)N1CCN(Cc2cccc(Cl)c2)CC1,shipment_SMILES,2021-03-08,93.9,74.1,119,1.21,2.1
CVD-0016117,CDD-2424839,FC(F)(F)C1=CN=C(NC2=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C2)C=C1,PCM-0221903,"","","","","",2021-03-15,3.96,3.33,4.70,0.821,1.1
CVD-0016050,CDD-2424909,CC1=CC2=C(C=C1)N=C(NC1=CC(CC(=O)NC3=CN=CC4=CC=CC=C34)=CC(Cl)=C1)S2,PCM-0221975,"","","","","",2021-05-10,22.9,21.2,24.8,1.09,2.1
CVD-0016032,CDD-2424927,ClC1=CC(=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1)N1CCN(CC1)C(=O)C1=CC=CO1,PCM-0221993,"","","","","",2021-03-15,0.387,0.367,0.409,1.04,1.1
CVD-0015940,CDD-2425020,CN(CC1=CC=CC2=CC=CC=C12)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,PCM-0222088,"","","","","",2021-03-15,8.79,8.25,9.36,1.62,1.1
CVD-0015926,CDD-2425035,CCS(=O)(=O)N1CCN(CC1)C1=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=CC(Cl)=C1,PCM-0222105,"","","","","",2021-03-22,1.67,1.56,1.79,1.01,1.1
CVD-0015876,"",CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,MAT-POS-fb82b63d-3,Racemic or presumed racemic or meso,False,CN1CCC=2C=CC(Cl)=CC2C1C(=O)NC=3C=NC=C4C=CC=CC34,CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,shipment_SMILES,2021-03-22,3.00,2.60,3.47,1.03,1.1
CVD-0015874,"",Clc1ccc2CCNC(C(=O)Nc3cncc4ccccc34)c2c1,MAT-POS-fb82b63d-1,Racemic or presumed racemic or meso,False,ClC=1C=CC=2CCNC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,O=C(Nc1cncc2ccccc12)C1NCCc2ccc(Cl)cc21,shipment_SMILES,2021-03-22,1.13,0.984,1.29,1.12,1.1
CVD-0015870,"",CN(C)CC(=O)NCC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,EDG-MED-70ae9412-2,Racemic or presumed racemic or meso,False,CN(C)CC(=O)NCC1(CCOC=2C=CC(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,CN(C)CC(=O)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,shipment_SMILES,2021-02-02,5.00,4.74,5.28,1.08,1.1
CVD-0015869,"",Clc1ccc2OCCC(CNC(=O)Cn3ccnc3)(C(=O)Nc3cncc4ccccc34)c2c1,EDG-MED-70ae9412-1,Racemic or presumed racemic or meso,False,ClC=1C=CC=2OCCC(CNC(=O)CN3C=CN=C3)(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,O=C(Cn1ccnc1)NCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,shipment_SMILES,2021-02-02,2.88,2.67,3.10,1.18,1.1
CVD-0015861,CDD-2563732,COC1(CCOc2c(F)cc(F)cc12)C(=O)Nc1cncc2ccccc12,EDJ-MED-37aac4bd-4,Racemic or presumed racemic or meso,False,COC1(CCOC=2C(F)=CC(F)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,COC1(C(=O)Nc2cncc3ccccc23)CCOc2c(F)cc(F)cc21,shipment_SMILES,2021-03-01,0.225,0.195,0.259,1.08,2.1
CVD-0015859,"",COCC1(CCOc2cc(Cl)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,EDJ-MED-37aac4bd-2,Racemic or presumed racemic or meso,False,COCC1(CCOC=2C=C(Cl)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,COCC1(C(=O)Nc2cncc3ccccc23)CCOc2cc(Cl)c(Cl)cc21,shipment_SMILES,2021-02-23,4.04,3.37,4.84,0.959,1.1
CVD-0015858,CDD-2563731,Clc1cc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,ALP-POS-fe871b40-16,Racemic or presumed racemic or meso,False,ClC=1C=C2NC(=O)CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2=CC1Cl,O=C1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)c(Cl)cc2N1,shipment_SMILES,2021-08-08,0.356,0.281,0.450,1.03,2.1
CVD-0015858,CDD-2563731,Clc1cc2NC(=O)CC(C(=O)Nc3cncc4ccccc34)c2cc1Cl,ALP-POS-fe871b40-16,Racemic or presumed racemic or meso,False,ClC=1C=C2NC(=O)CC(C(=O)NC=3C=NC=C4C=CC=CC34)C2=CC1Cl,O=C1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)c(Cl)cc2N1,shipment_SMILES,2021-04-11,0.196,0.183,0.211,1.01,2.1
CVD-0015853,CDD-2563730,COC1(CCOc2cc(F)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,ALP-POS-fe871b40-11,Racemic or presumed racemic or meso,False,COC1(CCOC=2C=C(F)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,COC1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21,shipment_SMILES,2021-03-15,0.295,0.285,0.307,1.03,1.1
CVD-0015853,CDD-2563730,COC1(CCOc2cc(F)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,ALP-POS-fe871b40-11,Racemic or presumed racemic or meso,False,COC1(CCOC=2C=C(F)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,COC1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21,shipment_SMILES,2021-03-09,0.618,0.559,0.683,1.22,1.1
CVD-0015853,CDD-2563730,COC1(CCOc2cc(F)c(Cl)cc12)C(=O)Nc1cncc2ccccc12,ALP-POS-fe871b40-11,Racemic or presumed racemic or meso,False,COC1(CCOC=2C=C(F)C(Cl)=CC21)C(=O)NC=3C=NC=C4C=CC=CC34,COC1(C(=O)Nc2cncc3ccccc23)CCOc2cc(F)c(Cl)cc21,shipment_SMILES,2021-03-08,0.331,0.316,0.347,1.06,1.1
CVD-0015847,CDD-2563881,Clc1cc(C#N)c2NCCC(C(=O)Nc3cncc4ccccc34)c2c1,ALP-POS-fe871b40-2,Racemic or presumed racemic or meso,False,ClC=1C=C(C#N)C=2NCCC(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,N#Cc1cc(Cl)cc2c1NCCC2C(=O)Nc1cncc2ccccc12,shipment_SMILES,2021-03-22,0.242,0.224,0.262,1.02,2.1
CVD-0015775,"",NS(=O)(=O)c1ccc(CNC(=O)CC2(CCOc3ccc(Cl)cc23)C(=O)Nc2cncc3ccccc23)cc1,ALP-UNI-8e43a71e-16,Racemic or presumed racemic or meso,False,NS(=O)(=O)C=1C=CC(CNC(=O)CC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45)=CC1,NS(=O)(=O)c1ccc(CNC(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1,shipment_SMILES,2021-04-11,3.72,3.48,3.98,0.939,1.1
CVD-0015769,"",OCC(F)(F)CN1CCN(CC1)C(=O)CC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,ALP-UNI-8e43a71e-10,Racemic or presumed racemic or meso,False,OCC(F)(F)CN1CCN(CC1)C(=O)CC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN(CC(F)(F)CO)CC1,shipment_SMILES,2021-02-23,7.28,4.61,11.5,0.642,2.3
CVD-0015768,"",OCCCN1CCN(CC1)C(=O)CC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,ALP-UNI-8e43a71e-8,Racemic or presumed racemic or meso,False,OCCCN1CCN(CC1)C(=O)CC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCN(CCCO)CC1,shipment_SMILES,2021-02-23,9.98,9.31,10.7,1.03,1.1
CVD-0015767,"",Clc1ccc2OCCC(CC(=O)N3CCN(CCC#N)CC3)(C(=O)Nc3cncc4ccccc34)c2c1,ALP-UNI-8e43a71e-7,Racemic or presumed racemic or meso,False,ClC=1C=CC=2OCCC(CC(=O)N3CCN(CCC#N)CC3)(C(=O)NC=4C=NC=C5C=CC=CC45)C2C1,N#CCCN1CCN(C(=O)CC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,shipment_SMILES,2021-03-15,21.3,11.4,39.9,0.483,2.3
CVD-0015765,"",OCCN1CCCC2C1CCN2C(=O)CC1(CCOc2ccc(Cl)cc12)C(=O)Nc1cncc2ccccc12,ALP-UNI-8e43a71e-2,Diastereomeric mixture,False,OCCN1CCCC2C1CCN2C(=O)CC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,O=C(CC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21)N1CCC2C1CCCN2CCO,shipment_SMILES,2021-04-05,4.66,4.17,5.20,1.05,1.1
CVD-0015760,"",CCOC(=O)c1ncoc1CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-49,"",False,"","","",2021-02-10,5.88,5.50,6.28,1.10,1.1
CVD-0015759,"",CCOC(=O)CCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-48,"",False,"","","",2021-02-10,6.24,5.85,6.65,1.18,1.1
CVD-0015758,"",CC(C)(C)c1ccc(cc1)N(C(C(=O)NCCN1CCOCC1)c1cccnc1)C(=O)c1cocn1,ALP-POS-88a7a97e-47,"",False,"","","",2021-02-10,82.5,53.0,129,0.898,2.3
CVD-0015757,"",CSCCCNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-46,"",False,"","","",2021-02-10,3.85,3.57,4.14,1.01,1.1
CVD-0015755,"",CC(C)(C)c1ccc(cc1)N(C(C(=O)NCC(=O)OCc1ccccc1)c1cccnc1)C(=O)c1cocn1,ALP-POS-88a7a97e-44,"",False,"","","",2021-02-10,9.92,9.42,10.5,1.28,1.1
CVD-0015754,"",CC(C)(C)OC(=O)N1CC(C1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-43,"",False,"","","",2021-02-10,6.91,6.30,7.58,1.00,1.1
CVD-0015753,"",Cc1ccc(cc1)S(=O)(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-42,"",False,"","","",2021-02-10,62.9,57.4,68.8,1.08,2.1
CVD-0015752,"",COc1ccc(NC(=O)C(N(C(=O)c2cocn2)c2ccc(cc2)C(C)(C)C)c2cccnc2)cn1,ALP-POS-88a7a97e-41,"",False,"","","",2021-02-10,5.37,5.09,5.65,1.10,1.1
CVD-0015751,"",COC(=O)[C@@H]1C[C@@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-40,"",False,"","","",2021-02-10,2.66,2.54,2.78,0.978,1.1
CVD-0015750,"",CC(C)(C)c1ccc(cc1)N(C(C(=O)NC1CC(F)(F)C1)c1cccnc1)C(=O)c1cocn1,ALP-POS-88a7a97e-39,"",False,"","","",2021-02-10,2.35,2.26,2.44,1.05,1.1
CVD-0015749,"",CC(C)(C)OC(=O)CNC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-38,"",False,"","","",2021-02-10,8.18,7.73,8.66,1.12,1.1
CVD-0015748,"",COC(=O)[C@H]1C[C@H](CN1C(=O)OC(C)(C)C)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-37,"",False,"","","",2021-02-10,5.32,5.05,5.61,1.10,1.1
CVD-0015747,"",COC(=O)C1(CCCC1)NC(=O)C(N(C(=O)c1cocn1)c1ccc(cc1)C(C)(C)C)c1cccnc1,ALP-POS-88a7a97e-36,"",False,"","","",2021-02-10,5.26,3.57,7.77,0.922,1.3
