SMILES,TITLE,IC50 (uM),IC50 (uM) - std,Average Inhibition @ 20 uM,Average Inhibition @ 20 uM - std,Average Inhibition @ 50 uM,Average Inhibition @ 50 uM - std,Trypsin IC50 (uM),Relative Solubility @ 20 uM,Relative Solubility @ 100 uM,Hybrid2,docked_fragment,Mpro-_dock,site
CCc1cccc(c1NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)C4(CC4)C)C(=O)C=C)C,LON-WEI-d1c9908a-8,,,,,,8.55,0.383,,,-3.686610,x0831,4.341524,active-covalent
CCc1cccc(c1NC(=O)[C@@H](c2cccnc2)N(c3ccc(nc3)C(C)C)C(=O)C=C)C,LON-WEI-b8d98729-18,,,,5.61,2.53,12.5,1.87,1.0,0.95,-3.682618,x1392,5.247264,active-covalent
CCc1cccc(c1NC(=O)[C@@H](c2cccnc2)N(c3ccc4c(c3)scn4)C(=O)C=C)C,LON-WEI-b8d98729-48,,,,7.67,3.72,10.7,1.22,0.97,0.97,-3.652820,x0831,4.31251,active-covalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)[C@H](C)OC)C(=O)C=C)OC,LON-WEI-b8d98729-8,,,,2.91,0.123,6.9,0.785,0.99,0.97,-3.603661,x1418,4.655709,active-covalent
CCc1cccc(c1)NC(=O)[C@@H](c2cccnc2)N(c3ccc(c(c3)C)N(C)C)C(=O)C=C,LON-WEI-b8d98729-16,,,,7.05,2.96,11.7,1.09,0.85,0.68,-3.552167,x1380,4.49022,active-covalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)C(F)(F)F)C(=O)C=C)OC,LON-WEI-b8d98729-37,,,,7.06,1.62,25.4,0.233,0.95,0.62,-3.529982,x1380,6.219213,active-covalent
CCc1cccc(c1)NC(=O)[C@@H](c2cccnc2)N(c3ccc4c(c3)scn4)C(=O)C=C,LON-WEI-b8d98729-38,63.3,11.25,> 49.5,33.9,0.707,59.3,0.47,0.8,0.63,-3.529699,x0749,4.281746,active-covalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc(nc3)C(C)C)C(=O)C=C)OC,LON-WEI-b8d98729-26,,,,6.56,2.76,10.4,1.07,0.98,0.93,-3.504733,x1380,4.724122,active-covalent
Cc1cc(ccc1N(C)C)N([C@H](c2cccnc2)C(=O)Nc3ccc(cc3)Br)C(=O)C=C,LON-WEI-b8d98729-14,,,,3.45,3.38,3.43,1.03,0.84,0.74,-3.499897,x0831,4.639638,active-covalent
CCc1cccc(c1NC(=O)[C@@H](c2cccnc2)N(c3ccc(c(c3)C)N(C)C)C(=O)C=C)C,LON-WEI-b8d98729-42,,,,6.4,1.5,13.2,0.141,0.9,0.77,-3.483134,x0749,4.593122,active-covalent
CSc1ccc(cc1)N([C@H](c2cccnc2)C(=O)Nc3ccc(cc3)Cl)C(=O)C=C,LON-WEI-b8d98729-24,,,,16.9,2.12,32.3,1.06,0.81,0.64,-3.232907,x0770,4.875348,active-covalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)C4(CC4)C)C(=O)C=C)OC,LON-WEI-d1c9908a-4,,,,,,1.72,1.59,,,-3.195148,x0759,5.904019,active-covalent
Cc1cc(ccc1N(C)C)N([C@H](c2cccnc2)C(=O)Nc3ccc(cc3)OC)C(=O)C=C,LON-WEI-8f408cad-10,,,,2.56,1.02,7.05,2.55,0.88,0.77,-3.120221,x1418,5.022598,active-covalent
CC1(CC1)c2ccc(cc2)N([C@H](c3cccnc3)C(=O)Nc4ccc(cc4)OC)C(=O)C=C,LON-WEI-d1c9908a-5,,,,,,39.3,2.57,,,-2.965664,x0749,5.590662,active-covalent
CCc1cccc(c1NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)C(C)(C)C)C(=O)C=C)C,LON-WEI-d1c9908a-10,,,,,,10.2,0.324,,,-2.927537,x0692,5.107371,active-covalent
COc1ccc(cc1)NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)C(F)(F)F)C(=O)C=C,LON-WEI-b8d98729-27,46.4,8.95,> 49.5,40.3,3.05,60.7,0.291,0.84,0.75,-2.920132,x0749,5.354342,active-covalent
Cc1cc(ccc1N(C)C)N([C@H](c2cccnc2)C(=O)Nc3ccc(cc3C)OC)C(=O)C=C,LON-WEI-b8d98729-30,,,,2.51,1.12,7.01,0.146,0.87,0.83,-2.911081,x1392,5.438154,active-covalent
Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C[C@H](Cc3ccccc3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O)C,ALE-UNK-fca05062-1,,,,7.22,1.3,13.0,1.35,0.83,0.53,-2.535317,x0104,14.471954,active-noncovalent
CCc1cccc(c1NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)[C@H](C)OC)C(=O)C=C)C,LON-WEI-b8d98729-45,,,,5.9,6.3,3.94,2.24,0.96,0.87,-2.493143,x0692,5.108878,active-covalent
CC(C)(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)Nc3ccc(cc3)OC)C(=O)C=C,LON-WEI-d1c9908a-7,,,,,,28.7,1.17,,,-2.073396,x0749,6.361499,active-covalent
Cc1cc(ccc1NC(=O)[C@@H](c2cccnc2)N(c3ccc(cc3)C(C)(C)C)C(=O)C=C)OC,LON-WEI-d1c9908a-3,,,,,,46.5,0.249,,,-2.043368,x0749,6.493489,active-covalent
CC(C)c1nc(cs1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccccc2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)OCc4cncs4)O,ALE-UNK-fca05062-2,,,,2.31,0.138,6.72,0.179,0.82,0.32,0.619766,x0104,20.843678,active-noncovalent
